@relation storage

@attribute package {paper, wrap, wood, plastic}
@attribute weight numeric
@attribute isFlat {TRUE, FALSE}
@attribute isLong {TRUE, FALSE}
@attribute isFragile {TRUE, FALSE}
@attribute hasDate {TRUE, FALSE}
@attribute isFood {TRUE, FALSE}

@data
paper,1,TRUE,FALSE,FALSE,FALSE,FALSE
wrap,13,FALSE,FALSE,FALSE,TRUE,TRUE
plastic,24,TRUE,TRUE,TRUE,FALSE,FALSE
wood,23,FALSE,FALSE,FALSE,FALSE,TRUE
paper,2,FALSE,FALSE,FALSE,FALSE,FALSE
paper,11,FALSE,FALSE,TRUE,FALSE,FALSE
wood,12,FALSE,TRUE,FALSE,FALSE,FALSE
wrap,24,TRUE,FALSE,TRUE,TRUE,TRUE
paper,3,FALSE,TRUE,FALSE,FALSE,FALSE
wrap,120,FALSE,FALSE,FALSE,FALSE,FALSE
plastic,30,FALSE,FALSE,TRUE,TRUE,TRUE
paper,45,TRUE,TRUE,FALSE,FALSE,FALSE
wrap,300,FALSE,FALSE,FALSE,FALSE,FALSE
wrap,40,FALSE,FALSE,FALSE,FALSE,TRUE
plastic,40,FALSE,FALSE,TRUE,TRUE,FALSE
wrap,80,FALSE,FALSE,FALSE,TRUE,TRUE
wood,40,FALSE,FALSE,FALSE,FALSE,TRUE


